Step,TrueX,TrueY,MeasX,MeasY,EstX,EstY
0,1.00,0.50,-0.96,-0.63,-0.47,-0.35
1,2.00,1.00,-0.45,0.58,-0.35,0.44
2,3.00,1.50,5.02,-0.11,4.11,0.08
3,4.00,2.00,1.79,-0.19,2.64,-0.13
4,5.00,2.50,4.32,1.25,4.10,0.99
5,6.00,3.00,6.19,2.39,5.99,2.24
6,7.00,3.50,7.47,4.51,7.46,4.27
7,8.00,4.00,9.03,3.70,9.01,4.07
8,9.00,4.50,8.00,2.65,8.45,3.01
9,10.00,5.00,8.29,6.51,8.40,5.84
10,11.00,5.50,10.11,7.99,9.84,7.84
11,12.00,6.00,9.60,3.59,9.79,4.65
12,13.00,6.50,13.93,7.16,13.26,6.57
13,14.00,7.00,14.47,8.68,14.60,8.41
14,15.00,7.50,15.89,5.68,15.95,6.38
15,16.00,8.00,14.70,8.94,15.19,8.41
16,17.00,8.50,19.28,6.65,18.61,7.11
17,18.00,9.00,19.30,9.84,19.52,9.31
18,19.00,9.50,17.89,10.72,18.43,10.65
19,20.00,10.00,17.82,10.62,17.95,10.84
20,21.00,10.50,22.64,11.71,21.77,11.67
21,22.00,11.00,21.67,11.21,22.02,11.42
22,23.00,11.50,24.00,9.94,23.83,10.25
23,24.00,12.00,22.04,13.80,22.61,13.08
24,25.00,12.50,25.33,12.94,24.86,13.18
25,26.00,13.00,26.16,14.97,26.14,14.76
26,27.00,13.50,24.75,15.33,25.22,15.43
27,28.00,14.00,25.52,16.47,25.49,16.45
28,29.00,14.50,30.79,12.70,29.88,13.54
29,30.00,15.00,27.62,15.66,28.44,15.10
30,31.00,15.50,29.30,16.20,29.22,16.06
31,32.00,16.00,30.14,13.65,30.08,14.19
32,33.00,16.50,32.08,17.62,31.85,16.89
33,34.00,17.00,33.84,17.13,33.71,17.28
34,35.00,17.50,34.48,16.90,34.62,17.10
35,36.00,18.00,38.23,17.10,37.81,17.14
36,37.00,18.50,37.55,16.58,37.99,16.70
37,38.00,19.00,36.34,20.15,36.84,19.51
38,39.00,19.50,37.02,20.23,36.99,20.34
39,40.00,20.00,42.44,20.81,41.48,20.92
40,41.00,20.50,39.58,19.46,40.34,19.87
41,42.00,21.00,44.31,20.59,43.70,20.44
42,43.00,21.50,43.87,21.43,44.20,21.30
43,44.00,22.00,43.70,21.98,44.01,21.96
44,45.00,22.50,46.50,21.47,46.15,21.67
45,46.00,23.00,46.65,23.33,46.80,23.06
46,47.00,23.50,45.68,22.82,46.06,23.00
47,48.00,24.00,47.37,22.71,47.15,22.82
48,49.00,24.50,47.61,23.03,47.64,23.01
49,50.00,25.00,52.17,26.69,51.46,26.06
