Step,TrueX,TrueY,MeasX,MeasY,EstX,EstY
0,1.00,0.50,-1.11,0.31,-0.58,0.36
1,2.00,1.00,-0.05,0.45,-0.06,0.52
2,3.00,1.50,4.89,3.52,4.09,3.04
3,4.00,2.00,5.97,2.56,6.06,2.90
4,5.00,2.50,3.75,4.56,4.54,4.38
5,6.00,3.00,7.64,5.47,7.14,5.47
6,7.00,3.50,6.33,2.43,6.73,3.16
7,8.00,4.00,5.56,2.07,5.86,2.14
8,9.00,4.50,7.66,3.57,7.30,3.16
9,10.00,5.00,8.40,4.89,8.32,4.60
10,11.00,5.50,11.93,7.40,11.44,7.04
11,12.00,6.00,14.35,7.47,14.19,7.69
12,13.00,6.50,11.66,4.56,12.53,5.32
13,14.00,7.00,14.56,4.67,14.25,4.67
14,15.00,7.50,14.79,6.07,14.88,5.70
15,16.00,8.00,13.74,6.53,14.09,6.42
16,17.00,8.50,16.33,9.26,15.93,8.84
17,18.00,9.00,15.56,7.64,15.79,8.11
18,19.00,9.50,18.17,8.67,17.82,8.63
19,20.00,10.00,18.00,11.68,18.18,11.22
20,21.00,10.50,18.83,12.76,18.85,12.76
21,22.00,11.00,21.39,13.02,21.07,13.25
22,23.00,11.50,21.63,9.70,21.79,10.51
23,24.00,12.00,24.19,9.98,23.96,9.91
24,25.00,12.50,23.09,12.98,23.54,12.30
25,26.00,13.00,24.20,11.77,24.19,12.02
26,27.00,13.50,25.22,15.19,25.15,14.68
27,28.00,14.00,30.39,13.67,29.60,14.12
28,29.00,14.50,28.12,15.74,28.86,15.53
29,30.00,15.00,27.98,17.41,28.30,17.24
30,31.00,15.50,31.93,15.66,31.31,16.18
31,32.00,16.00,31.91,16.36,32.09,16.35
32,33.00,16.50,34.40,15.54,34.20,15.71
33,34.00,17.00,36.39,17.54,36.30,17.17
34,35.00,17.50,33.09,19.59,34.00,19.27
35,36.00,18.00,35.69,19.88,35.34,20.02
36,37.00,18.50,38.47,16.85,38.01,17.61
37,38.00,19.00,38.74,20.98,38.91,20.25
38,39.00,19.50,37.03,17.64,37.59,18.29
39,40.00,20.00,37.86,21.67,37.80,20.97
40,41.00,20.50,40.58,21.14,40.10,21.31
41,42.00,21.00,44.06,20.52,43.57,20.79
42,43.00,21.50,40.81,22.39,41.73,22.12
43,44.00,22.00,44.33,22.88,43.91,22.87
44,45.00,22.50,45.49,24.41,45.43,24.27
45,46.00,23.00,48.30,21.29,48.03,22.01
46,47.00,23.50,45.09,23.79,45.98,23.36
47,48.00,24.00,49.62,22.05,48.96,22.35
48,49.00,24.50,51.43,25.48,51.26,24.86
49,50.00,25.00,49.67,24.75,50.30,24.97
