Step,TrueX,TrueY,MeasX,MeasY,EstX,EstY,Fault
0,1.00,0.50,-0.76,0.40,-0.32,0.43,NO
1,2.00,1.00,-0.11,-0.71,-0.04,-0.39,NO
2,3.00,1.50,4.57,-0.44,3.82,-0.47,NO
3,4.00,2.00,1.76,1.15,2.52,0.84,NO
4,5.00,2.50,7.10,1.01,6.36,1.09,NO
5,6.00,3.00,7.16,5.08,7.40,4.45,NO
6,7.00,3.50,8.72,4.42,8.77,4.77,NO
7,8.00,4.00,8.54,1.94,8.84,2.64,NO
8,9.00,4.50,9.84,2.23,9.79,2.21,NO
9,10.00,5.00,10.03,7.34,10.14,6.34,NO
10,11.00,5.50,11.85,7.87,11.65,7.93,NO
11,12.00,6.00,11.03,6.72,11.33,7.25,NO
12,13.00,6.50,15.23,7.14,14.60,7.25,NO
13,14.00,7.00,15.04,9.27,15.29,8.95,NO
14,15.00,7.50,15.81,9.88,15.94,9.89,NO
15,16.00,8.00,17.87,9.02,17.69,9.35,NO
16,17.00,8.50,14.56,6.42,15.36,6.97,NO
17,18.00,9.00,16.46,9.01,16.17,8.44,NO
18,19.00,9.50,18.36,10.76,18.00,10.38,NO
19,20.00,10.00,22.31,11.59,21.72,11.57,NO
20,21.00,10.50,22.02,10.20,22.39,10.65,NO
21,22.00,11.00,20.86,10.90,21.41,10.87,NO
22,23.00,11.50,24.17,13.25,23.72,12.86,NO
23,24.00,12.00,25.84,10.57,25.70,11.18,NO
24,25.00,12.50,27.19,10.50,27.22,10.56,NO
25,26.00,13.00,27.22,10.56,27.50,10.48,YES
26,27.00,13.50,28.85,15.36,28.77,14.44,NO
27,28.00,14.00,29.95,15.33,29.94,15.51,NO
28,29.00,14.50,30.74,14.30,30.80,14.78,NO
29,30.00,15.00,30.58,17.34,30.79,16.95,NO
30,31.00,15.50,31.23,13.63,31.23,14.45,NO
31,32.00,16.00,30.95,13.80,31.08,13.80,NO
32,33.00,16.50,33.13,17.21,32.79,16.48,NO
33,34.00,17.00,35.20,17.72,34.94,17.69,NO
34,35.00,17.50,33.60,17.26,34.12,17.54,NO
35,36.00,18.00,37.98,18.56,37.35,18.46,NO
36,37.00,18.50,36.57,17.79,37.03,18.04,NO
37,38.00,19.00,37.42,19.01,37.48,18.86,NO
38,39.00,19.50,40.26,17.63,39.86,17.93,NO
39,40.00,20.00,39.14,18.49,39.54,18.35,NO
40,41.00,20.50,40.00,22.53,40.02,21.81,NO
41,42.00,21.00,42.91,18.90,42.49,19.74,NO
42,43.00,21.50,44.02,23.62,44.02,22.90,NO
43,44.00,22.00,45.69,21.05,45.66,21.65,NO
44,45.00,22.50,47.25,21.37,47.25,21.44,NO
45,46.00,23.00,47.57,22.52,47.79,22.31,NO
46,47.00,23.50,45.97,22.48,46.49,22.52,NO
47,48.00,24.00,49.45,25.17,48.90,24.75,NO
48,49.00,24.50,48.31,23.91,48.62,24.29,NO
49,50.00,25.00,48.94,23.19,48.96,23.45,NO
