Step,TrueX,TrueY,Yaw,EstX,EstY,EstYaw
0,1.00,0.50,0.10,0.40,0.58,0.04
1,2.00,1.00,0.20,2.01,1.15,0.14
2,3.00,1.50,0.30,2.83,2.06,0.25
3,4.00,2.00,0.40,4.19,1.95,0.36
4,5.00,2.50,0.50,5.37,2.48,0.43
5,6.00,3.00,0.60,5.64,2.50,0.53
6,7.00,3.50,0.70,6.36,2.80,0.66
7,8.00,4.00,0.80,7.55,3.12,0.71
8,9.00,4.50,0.90,8.14,3.83,0.83
9,10.00,5.00,1.00,9.57,4.72,0.94
10,11.00,5.50,1.10,10.34,5.53,1.03
11,12.00,6.00,1.20,11.43,5.48,1.14
12,13.00,6.50,1.30,13.00,6.55,1.24
13,14.00,7.00,1.40,13.76,7.48,1.35
14,15.00,7.50,1.50,15.40,8.30,1.44
15,16.00,8.00,1.60,15.81,8.44,1.52
16,17.00,8.50,1.70,17.32,8.41,1.65
17,18.00,9.00,1.80,18.61,9.54,1.77
18,19.00,9.50,1.90,19.50,9.70,1.83
19,20.00,10.00,2.00,20.06,10.53,1.90
20,21.00,10.50,2.10,20.88,10.33,2.03
21,22.00,11.00,2.20,21.40,10.31,2.16
22,23.00,11.50,2.30,22.37,10.81,2.25
23,24.00,12.00,2.40,23.85,11.99,2.35
24,25.00,12.50,2.50,24.89,12.14,2.46
25,26.00,13.00,2.60,25.90,12.73,2.57
26,27.00,13.50,2.70,27.23,12.87,2.65
27,28.00,14.00,2.80,28.00,13.90,2.75
28,29.00,14.50,2.90,29.09,14.28,2.82
29,30.00,15.00,3.00,29.72,14.78,2.95
30,31.00,15.50,3.10,30.85,15.95,3.05
31,32.00,16.00,3.20,31.73,15.87,3.15
32,33.00,16.50,3.30,32.83,15.90,3.25
33,34.00,17.00,3.40,33.90,16.22,3.37
34,35.00,17.50,3.50,34.51,17.52,3.46
35,36.00,18.00,3.60,35.47,17.92,3.52
36,37.00,18.50,3.70,37.24,18.67,3.61
37,38.00,19.00,3.80,38.60,19.49,3.73
38,39.00,19.50,3.90,38.99,19.41,3.85
39,40.00,20.00,4.00,39.96,19.53,3.94
